Date,Monthly Nominal GDP Index,Monthly Real GDP Index
1992 - Jan,6315.825,9480.082
1992 - Feb,6356.428,9521.413
1992 - Mar,6417.053,9600.052
1992 - Apr,6443.275,9606.322
1992 - May,6433.98,9588.479
1992 - Jun,6535.034,9716.831
1992 - Jul,6557.532,9734.279
1992 - Aug,6556.625,9714.499
1992 - Sep,6585.766,9748.627
1992 - Oct,6637.305,9803.368
1992 - Nov,6680.253,9831.196
1992 - Dec,6724.851,9867.305
1993 - Jan,6717.715,9852.219
1993 - Feb,6741.533,9867.761
1993 - Mar,6729.129,9831.254
1993 - Apr,6768.317,9869.848
1993 - May,6824.204,9928.231
1993 - Jun,6834.295,9925.227
1993 - Jul,6832.981,9903.582
1993 - Aug,6873.971,9942.82
1993 - Sep,6939.342,10018.774
1993 - Oct,6944.714,10016.54
1993 - Nov,7036.004,10114.444
1993 - Dec,7060.496,10140.439
1994 - Jan,7074.469,10139.569
1994 - Feb,7122.956,10195.97
1994 - Mar,7149.531,10229.595
1994 - Apr,7186.285,10264.065
1994 - May,7290.267,10363.007
1994 - Jun,7264.241,10352.198
1994 - Jul,7299.039,10354.903
1994 - Aug,7351.72,10425.5
1994 - Sep,7342.467,10380.127
1994 - Oct,7429.13,10475.17
1994 - Nov,7431.809,10469.066
1994 - Dec,7504.924,10573.58
1995 - Jan,7542.179,10576.135
1995 - Feb,7488.285,10499.713
1995 - Mar,7536.403,10554.077
1995 - Apr,7538.949,10521.698
1995 - May,7560.866,10551.151
1995 - Jun,7643.176,10651.866
1995 - Jul,7630.481,10599.045
1995 - Aug,7674.12,10657.281
1995 - Sep,7744.773,10738.399
1995 - Oct,7747.39,10692.202
1995 - Nov,7747.694,10710.532
1995 - Dec,7822.674,10809.785
1996 - Jan,7840.44,10787.758
1996 - Feb,7852.859,10804.338
1996 - Mar,7912.105,10862.399
1996 - Apr,8025.059,11006.01
1996 - May,8009.413,10969.991
1996 - Jun,8064.048,11019.766
1996 - Jul,8099.335,11060.57
1996 - Aug,8122.934,11092.793
1996 - Sep,8171.955,11137.877
1996 - Oct,8251.077,11212.479
1996 - Nov,8281.781,11234.135
1996 - Dec,8246.455,11190.24
1997 - Jan,8309.335,11256.729
1997 - Feb,8385.541,11336.06
1997 - Mar,8393.089,11261.173
1997 - Apr,8512.119,11512.01
1997 - May,8476.291,11402.013
1997 - Jun,8568.066,11502.565
1997 - Jul,8620.804,11595.486
1997 - Aug,8655.761,11625.286
1997 - Sep,8711.904,11626.298
1997 - Oct,8747.98,11701.193
1997 - Nov,8736.438,11677.002
1997 - Dec,8813.304,11768.094
1998 - Jan,8772.589,11705.927
1998 - Feb,8894.372,11878.733
1998 - Mar,8932.478,11912.831
1998 - Apr,8925.729,11887.687
1998 - May,8952.669,11917.312
1998 - Jun,9030.699,12020.966
1998 - Jul,9050.717,11996.581
1998 - Aug,9100.03,12057.414
1998 - Sep,9212.544,12220.445
1998 - Oct,9266.275,12262.684
1998 - Nov,9307.26,12312.854
1998 - Dec,9308.439,12285.035
1999 - Jan,9360.445,12317.291
1999 - Feb,9419.044,12414.348
1999 - Mar,9472.303,12477.868
1999 - Apr,9496.972,12472.509
1999 - May,9531.344,12509.006
1999 - Jun,9544.14,12514.295
1999 - Jul,9656.049,12624.497
1999 - Aug,9656.138,12659.545
1999 - Sep,9733.38,12702.759
1999 - Oct,9810.786,12767.53
1999 - Nov,9887.945,12859.747
1999 - Dec,9999.402,13004.705
2000 - Jan,9920.56,12857.908
2000 - Feb,9998.869,12920.764
2000 - Mar,10089.142,12993.21
2000 - Apr,10222.118,13156.939
2000 - May,10230.799,13141.686
2000 - Jun,10290.12,13183.065
2000 - Jul,10235.286,13094.758
2000 - Aug,10339.205,13204.249
2000 - Sep,10384.984,13235.174
2000 - Oct,10428.698,13262.53
2000 - Nov,10449.57,13263.201
2000 - Dec,10438.807,13255.307
2001 - Jan,10468.514,13247.688
2001 - Feb,10468.555,13227.304
2001 - Mar,10481.567,13193.075
2001 - Apr,10568.262,13295.647
2001 - May,10639.417,13351.52
2001 - Jun,10585.787,13252.89
2001 - Jul,10578.76,13209.768
2001 - Aug,10689.197,13357.955
2001 - Sep,10520.926,13166.637
2001 - Oct,10645.8,13269.704
2001 - Nov,10585.863,13189.637
2001 - Dec,10749.219,13383.524
2002 - Jan,10790.215,13429.707
2002 - Feb,10755.008,13348.109
2002 - Mar,10821.633,13413.55
2002 - Apr,10863.004,13460.982
2002 - May,10875.36,13459.017
2002 - Jun,10941.257,13514.792
2002 - Jul,11008.564,13585.999
2002 - Aug,10954.996,13503.609
2002 - Sep,11012.593,13524.71
2002 - Oct,11008.839,13505.513
2002 - Nov,11063.656,13544.165
2002 - Dec,11141.894,13627.327
2003 - Jan,11148.72,13609.627
2003 - Feb,11218.796,13675.625
2003 - Mar,11183.005,13617.716
2003 - Apr,11263.071,13689.859
2003 - May,11272.134,13696.082
2003 - Jun,11403.421,13869.299
2003 - Jul,11468.037,13907.065
2003 - Aug,11569.554,13984.67
2003 - Sep,11664.387,14064.156
2003 - Oct,11697.153,14079.633
2003 - Nov,11781.284,14159.187
2003 - Dec,11829.388,14198.703
2004 - Jan,11805.898,14113.679
2004 - Feb,11924.242,14234.546
2004 - Mar,12030.367,14315.741
2004 - Apr,12027.916,14269.423
2004 - May,12171.68,14405.341
2004 - Jun,12127.365,14314.413
2004 - Jul,12277.503,14434.886
2004 - Aug,12298.627,14472.338
2004 - Sep,12333.89,14488.362
2004 - Oct,12466.473,14585.122
2004 - Nov,12508.902,14593.36
2004 - Dec,12591.899,14651.778
2005 - Jan,12744.478,14780.747
2005 - Feb,12743.777,14752.886
2005 - Mar,12795.756,14781.82
2005 - Apr,12842.35,14806.34
2005 - May,12872.446,14781.223
2005 - Jun,13015.27,14932.292
2005 - Jul,13090.603,14954.242
2005 - Aug,13154.26,14998.533
2005 - Sep,13183.756,14963.928
2005 - Oct,13241.795,14986.681
2005 - Nov,13310.41,15025.726
2005 - Dec,13444.743,15187.844
2006 - Jan,13522.021,15234.022
2006 - Feb,13575.974,15221.426
2006 - Mar,13713.803,15345.966
2006 - Apr,13690.772,15259.332
2006 - May,13779.583,15335.047
2006 - Jun,13779.063,15314.135
2006 - Jul,13788.094,15265.392
2006 - Aug,13882.389,15326.019
2006 - Sep,13931.924,15388.216
2006 - Oct,13963.998,15391.294
2006 - Nov,14057.827,15500.02
2006 - Dec,14089.859,15480.017
2007 - Jan,14129.855,15460.679
2007 - Feb,14283.126,15564.472
2007 - Mar,14212.726,15455.299
2007 - Apr,14346.747,15582.936
2007 - May,14382.354,15575.688
2007 - Jun,14417.988,15587.918
