Date,Open,High,Low,Close,Volume
2000-01-31,11501.8,11750.3,10701.6,10940.5,3854528039
2000-02-29,10937.7,11118.9,9836.06,10128.3,3661494695
2000-03-31,10128.1,11234.7,9731.81,10921.9,4755115957
2000-04-30,10863.3,11425.5,10201.5,10733.9,4049373321
2000-05-31,10749.4,10971.2,10258.8,10522.3,3816890173
2000-06-30,10532.3,10863,10335.5,10447.9,3824126439
2000-07-31,10450.4,10874.6,10393.1,10522,3248783370
2000-08-31,10523.8,11319.1,10518.3,11215.1,3621108351
2000-09-30,11219.5,11401.2,10567.3,10650.9,4640062364
2000-10-31,10659.1,10995.4,9651.68,10971.1,6255173450
2000-11-30,10966.2,11006.5,10292.4,10414.5,4680192930
2000-12-31,10416.8,10917.7,10299.2,10786.8,5202344213
2001-01-31,10790.9,11028,10468,10887.4,5825541600
2001-02-28,10884.8,11035.1,10294,10495.3,4164880478
2001-03-31,10493.2,10859.5,9106.54,9878.78,6086252984
2001-04-30,9877.16,10906.4,9375.72,10735,5241031667
2001-05-31,10734,11350,10673.2,10911.9,4517985038
2001-06-30,10913.6,11196.5,10394.7,10502.4,4914283802
2001-07-31,10505,10679.1,10120.9,10522.8,4606172003
2001-08-31,10527.4,10609.7,9869.14,9949.75,4084168616
2001-09-30,9946.98,10182.4,8062.34,8847.56,5554759747
2001-10-31,8845.97,9598.17,8732.14,9075.14,5722004051
2001-11-30,9087.45,9992.79,9014.46,9851.56,4722425666
2001-12-31,9848.93,10184.5,9703.9,10021.5,4302825515
2002-01-31,10021.7,10300.2,9529.46,9920,4955879805
2002-02-28,9923.04,10255.2,9580.32,10106.1,4652164021
2002-03-31,10111,10673.1,10111,10403.9,4589682689
2002-04-30,10402.1,10402.1,9811.57,9946.22,5111918993
2002-05-31,9944.9,10353.4,9802.23,9925.25,4800415862
2002-06-30,9923.94,9986.49,8926.57,9243.26,5784168832
2002-07-31,9239.25,9410.38,7532.66,8736.59,7714467845
2002-08-31,8732.58,9077.01,8030.82,8663.5,5590642091
